ticket_id,title,problem,resolution,tags,product_area,solved_at
TKT-1001,Refund request for annual plan,Customer requested refund for annual plan purchased 15 days ago due to company budget cuts,Processed full refund per 30-day policy. Customer confirmed receipt and thanked team for quick resolution.,refund,billing,annual,2026-01-18
TKT-1002,SSO login failing for 5 users,Five users unable to login via SSO with 'Authentication failed' error,Found stale SAML metadata. Customer re-uploaded fresh metadata and users could login immediately.,sso,authentication,saml,2026-01-17
TKT-1003,API rate limit exceeded,Customer hitting rate limits during nightly data sync,Explained fair-use policy. Customer optimized their sync script to batch requests. Offered Enterprise upgrade for higher limits.,api,rate-limit,performance,2026-01-16
TKT-1004,Export timing out for large dataset,Data export failing for dataset with 50K+ records,Increased export timeout for Enterprise account. Recommended using date range filters to export in smaller chunks.,export,timeout,performance,2026-01-15
TKT-1005,Can't add custom fields to tickets,Customer unable to create custom fields in ticket form,User had Viewer role instead of Admin. Upgraded permissions and confirmed custom field creation worked.,permissions,custom-fields,user-management,2026-01-14
TKT-1006,Invoice not received for December,Customer didn't receive invoice email for December billing cycle,Email was blocked by customer's spam filter. Resent invoice and whitelisted our billing email domain.,invoice,email,billing,2026-01-13
TKT-1007,Mobile app crashes on ticket view,iOS app crashes when opening tickets with large attachments,Known issue fixed in v2.5.1. Customer updated app and confirmed issue resolved.,mobile,bug,attachments,2026-01-12
TKT-1008,SSO group sync not updating,New employees added to Okta group not appearing in application,Customer had not enabled automatic group sync. Enabled feature and ran manual sync. Groups updated successfully.,sso,group-sync,okta,provisioning,2026-01-11
TKT-1009,Bulk ticket import failed,CSV import of 500 tickets failed with validation error,Found malformed dates in CSV. Provided corrected CSV format guide. Customer fixed data and import succeeded.,import,csv,bulk-operations,2026-01-10
TKT-1010,Dashboard widgets not loading,Dashboard showing loading spinner indefinitely,Browser cache issue after v2.5.0 update. Hard refresh resolved. Documented workaround in known issues.,dashboard,browser,cache,2026-01-09
TKT-1011,Account locked after password attempts,User account locked after 5 failed password attempts,Unlocked account per security policy. User successfully reset password and logged in.,security,password,account-lockout,2026-01-08
TKT-1012,Notification emails stopped working,Customer not receiving any notification emails for 2 days,SMTP configuration was reset during infrastructure maintenance. Reconfigured SMTP settings and tested email delivery.,email,notifications,smtp,2026-01-07
TKT-1013,Unable to upgrade to Enterprise plan,Upgrade button not working in billing settings,JavaScript error in billing page. Escalated to Engineering. Hotfix deployed within 2 hours. Customer upgraded successfully.,billing,upgrade,bug,2026-01-06
TKT-1014,Search not returning recent tickets,Tickets created in last 24 hours not appearing in search results,Search indexing delay due to high system load. Manually triggered re-index. Results appeared within 10 minutes.,search,indexing,performance,2026-01-05
TKT-1015,Timezone showing incorrectly,Activity log timestamps showing wrong timezone,User timezone setting was set to UTC instead of local timezone. Updated in user profile. Timestamps now correct.,timezone,user-settings,activity-log,2026-01-04
